Growth..1991...2001.,Number.of.households,Sex.ratio..females.per.1000.males.,Sex.ratio..0.6.years.,Data.without.level,Below.Primary,Primary,Middle,Matric.Higher.Secondary.Diploma,Graduate.and.Above,Main.workers,Marginal.workers,Drinking.water.facilities,Safe.Drinking.water,Electricity..Power.Supply.,Electricity..domestic.,Electricity..Agriculture.,Medical.facility,Primary.Health.Centre,Primary.Health.Sub.Centre,Post..telegraph.and.telephone.facility,Bus.services,Paved.approach.road,Persons,Primary.school,Middle.schools,Secondary.Sr.Secondary.schools,College,Persons..literate,Literacy Rate,Institutions,Persons Per EduInst,Medical Institutions,Persons Per MedInst
14.66,190035,996,980,20978,168114,121692,60369,56676,19150,322151,142246,1177,1171,1047,795,NA,342,40,211,205,147,395,894236,1140,287,105,4,446998,0.499865807,1532,583.7049608,593,1507.986509
17.86,354907,952,958,48521,371506,264193,128871,157362,50077,559318,220215,1885,1883,1882,714,NA,408,73,144,790,312,513,1849283,1675,464,290,6,1020599,0.551889029,2429,761.3351173,625,2958.8528
16.49,231959,981,977,23498,240749,190243,82155,74325,25158,380973,188087,1571,1571,1550,789,NA,360,32,243,434,295,593,1166608,1461,400,130,2,636216,0.545355424,1991,585.9407333,635,1837.177953
5.85,310067,1022,967,14401,303327,260633,137143,119334,35809,493229,260352,1274,1274,1169,769,NA,457,40,235,377,313,550,1497968,1165,378,187,6,870688,0.581246061,1730,865.8774566,732,2046.404372
73.42,34922,879,973,2682,27745,31478,17350,12159,1310,108206,22642,110,106,102,102,0,69,14,9,29,58,51,260652,107,60,13,0,92726,0.355746359,180,1448.066667,92,2833.173913
78.1,60780,897,957,8279,37805,54957,37755,37510,3871,156950,27974,251,234,238,235,8,123,32,4,56,91,85,414818,230,111,40,4,180186,0.434373629,381,1088.761155,159,2608.918239
43.48,37330,919,988,4189,28031,44197,39682,49330,9493,82160,27100,101,91,97,94,0,82,18,8,54,81,76,232085,99,58,27,2,174982,0.753956525,184,1261.331522,108,2148.935185
61,26610,947,944,3287,16972,24222,18748,21949,3936,47491,9292,186,180,187,187,0,57,8,1,30,96,147,153955,178,44,17,0,89139,0.578993862,239,644.1631799,66,2332.651515
95.01,25899,927,984,2119,21182,30603,23216,29080,5988,49679,6575,128,114,105,104,0,67,8,1,24,29,47,161223,104,32,13,1,112198,0.695918076,149,1082.033557,76,2121.355263
73.3,58077,854,969,4322,39415,49270,38531,55305,14448,87581,15725,215,201,178,176,1,90,3,9,100,91,112,309024,185,57,24,7,201350,0.651567516,266,1161.744361,102,3029.647059
49.96,55565,911,967,6283,37792,49001,37627,50543,14916,114456,20567,179,150,148,146,0,82,18,5,62,97,115,310084,164,65,33,5,196180,0.632667277,262,1183.526718,105,2953.180952
45.12,28874,921,925,1306,20710,26792,16874,16296,3549,57454,13944,104,103,102,101,0,54,19,6,20,56,58,148195,102,55,22,1,85562,0.57736091,179,827.9050279,79,1875.886076
11.47,296514,976,957,15117,245140,249457,93408,118362,28280,384710,208820,1180,1180,1154,760,NA,229,52,201,825,368,531,1346336,1134,461,287,NA,749820,0.556933782,1882,715.3751328,482,2793.228216
15.13,106839,946,948,6565,89339,90669,43070,66985,16249,133148,56445,346,346,335,158,NA,65,18,52,269,106,163,509716,321,127,84,11,312880,0.613832016,532,958.112782,135,3775.674074
14.17,202247,969,959,12490,163395,157269,69036,105367,37291,282174,139172,1238,1237,1037,718,74,166,32,131,406,348,362,935613,825,294,188,21,544861,0.582357235,1307,715.8477429,329,2843.808511
