Growth..1991...2001.,Number.of.households,Sex.ratio..females.per.1000.males.,Sex.ratio..0.6.years.,Data.without.level,Below.Primary,Primary,Middle,Matric.Higher.Secondary.Diploma,Graduate.and.Above,Main.workers,Marginal.workers,Drinking.water.facilities,Safe.Drinking.water,Electricity..Power.Supply.,Electricity..domestic.,Electricity..Agriculture.,Medical.facility,Primary.Health.Centre,Primary.Health.Sub.Centre,Post..telegraph.and.telephone.facility,Bus.services,Paved.approach.road,Persons,Primary.school,Middle.schools,Secondary.Sr.Secondary.schools,College,Persons..literate
25.63,575523,928,937,94677,348068,318259,161391,218608,69956,843356,228618,1122,1122,674,470,91,195,39,112,444,151,636,3394793,878,321,94,33,1211152
29.11,404656,912,945,54409,230002,238430,115437,201143,56953,571564,174511,729,729,457,183,49,167,76,77,260,146,446,2349366,503,233,92,17,896444
29.32,224095,885,931,24151,106607,111887,55070,95168,21286,333262,133978,241,241,114,105,37,124,35,72,152,47,126,1280354,220,136,44,4,414174
27.24,412080,876,966,52742,204880,243090,142439,243765,78697,580731,274614,935,934,445,279,70,229,57,80,358,101,460,2423172,642,216,88,8,965683
24.47,278639,908,964,21838,137137,161536,83442,118870,24495,405608,231057,1682,1677,289,241,37,146,25,83,234,108,360,1608773,909,207,53,8,547326
20.34,195175,872,914,22893,107443,134681,82675,166331,40304,233688,97763,525,524,321,138,37,149,18,68,176,94,337,1137797,382,127,65,7,554332
23.94,125397,921,950,6385,75190,85703,37350,83075,15832,226192,66442,357,357,116,99,15,96,12,50,118,33,125,802225,308,125,34,2,303536
24.96,78958,918,954,8668,44938,55787,23763,57234,11645,151504,42892,268,268,130,46,20,72,7,54,96,67,174,525502,238,95,35,5,202035
18.64,360797,914,941,36592,210649,257416,133793,269470,105051,700007,203137,1000,1000,366,172,182,198,34,118,325,92,398,2370528,879,344,98,11,1015473
30.17,726364,873,922,293828,456450,541973,307964,504159,348464,1161984,263663,1288,1288,615,287,220,390,47,175,471,103,520,4718592,1199,421,161,16,2453501
24.58,321192,902,939,21235,245719,294520,191702,251870,67823,491916,161895,999,998,247,229,23,133,29,69,326,243,465,2243144,885,243,35,1,1073010
29.03,192426,899,924,18334,153170,169511,111320,151446,38342,305398,102788,819,819,318,150,104,95,15,56,187,64,246,1402396,529,147,79,5,642167
30.64,184797,902,939,30513,148388,153131,97772,103874,28174,312872,130015,1349,1345,645,179,290,225,10,52,163,145,467,1289074,791,168,38,8,561854
27.71,346043,909,950,30279,275242,313981,204073,303289,78327,544731,199452,1710,1708,493,334,142,153,32,64,313,265,738,2450748,1185,339,112,9,1205287
28.64,230635,929,916,29147,148272,165901,94041,195509,40964,422789,158116,856,856,219,101,151,123,21,66,206,76,312,1514315,672,175,81,11,674115
30.19,285969,934,943,42368,223690,246053,133900,226566,48108,476390,194621,1739,1739,527,312,160,270,53,68,261,201,445,2013055,1148,220,76,4,920766
30.19,510968,938,968,80880,365097,373287,183747,315430,86752,994459,283180,2680,2678,539,227,340,278,55,107,380,270,711,3473428,1635,277,104,9,1405453
33.08,256386,946,977,33841,164913,193068,85800,165701,35707,507934,166443,964,961,509,91,213,156,37,74,191,108,363,1809696,749,159,60,3,679135
32.9,232939,918,963,25053,134181,146100,60873,93148,16894,392536,204081,1314,1310,270,153,70,124,14,62,164,67,299,1398796,706,150,48,5,476261
16.91,118828,946,969,19088,103521,85487,42217,41975,14373,181837,97989,650,645,405,312,NA,48,13,8,79,47,130,586327,562,114,39,1,306668
24.58,383217,972,976,106497,296575,220260,115576,101299,33241,605013,377028,1745,1742,1432,1043,NA,508,49,139,241,321,540,1972094,1713,468,177,7,873459
12.71,148792,999,975,34349,130597,103656,62225,50922,13790,261952,135946,760,760,550,357,NA,304,42,187,167,125,171,743160,749,202,105,3,395548
18.68,268609,994,964,56271,268796,204985,99568,86502,30355,430725,170839,1410,1409,1385,723,NA,279,20,85,336,253,370,1265529,1350,339,143,3,746495
22.55,203104,964,978,9373,164517,137964,79124,93719,33634,302248,128754,707,707,563,392,24,214,25,116,164,124,201,1011823,674,203,107,3,518372
18.55,254080,998,965,16341,261370,185071,110150,119079,28440,411510,164413,888,888,882,300,91,308,31,158,251,233,342,1317431,871,292,237,7,720507
17.59,390354,971,964,31399,359352,269030,145629,168750,73884,630504,227073,1545,1544,1494,941,NA,452,41,262,311,253,627,1998355,1426,417,254,5,1048167
13.86,112679,1002,969,26000,112289,68700,27349,19935,6752,231030,60618,952,948,774,530,NA,162,14,83,109,97,255,584552,785,100,43,1,261036
17.7,246524,1023,983,95384,265489,223080,116435,91107,31552,558996,90405,1595,1595,1550,1056,NA,343,23,50,314,403,630,1283224,1484,351,139,8,823076
16.88,543486,982,965,62545,543973,466403,265099,338969,116771,965624,197209,1762,1760,1737,931,NA,669,76,301,597,453,860,2810436,1698,529,338,13,1793890
18.97,581582,980,964,54132,571410,462342,234779,268987,121842,961507,303156,2101,2100,1955,1240,NA,696,35,377,622,267,857,3016930,1987,530,215,10,1713653
8.72,176607,1018,979,27307,175408,142893,65748,55893,17560,300907,110840,1103,1102,1068,730,NA,279,18,29,247,107,304,860257,1014,201,93,1,484836
19.72,130407,1004,976,25227,155851,130136,63651,51119,15880,268236,85994,628,627,557,298,NA,261,15,61,192,70,194,706591,575,144,72,2,441921
18.84,127294,1005,974,69563,136406,88486,49589,41617,11125,252484,99375,1043,1007,849,613,NA,93,27,28,151,84,327,650934,949,209,69,2,396797
18.28,259798,1011,1008,40399,183735,110533,61122,56155,19533,407252,280163,1375,1375,1105,893,NA,281,48,161,314,107,467,1306673,1230,305,155,2,471780
15.56,146190,1016,1014,15549,67783,37694,21178,26720,7989,284770,95474,1204,1170,578,491,NA,201,26,54,157,52,191,719487,1006,164,51,3,176944
40.33,206465,777,844,5945,88518,115349,90111,204402,138441,328989,11433,23,23,23,1,1,18,1,1,23,21,21,900635,18,14,14,0,643245
11.71,9241,1118,959,105,6779,8095,4390,5978,819,11404,2458,2,2,2,0,0,2,0,2,2,2,2,44215,2,2,3,0,26167
83.49,26445,591,906,338,14786,19113,16274,25517,5390,56118,2811,21,21,21,0,0,21,3,15,20,21,21,113989,20,15,8,1,81433
60.12,561945,820,856,16320,336760,414858,309552,550540,329431,872142,47297,62,62,62,11,9,44,2,1,60,62,61,2860869,57,31,46,0,1957902
13.3,148927,826,885,5647,84263,116492,90266,155998,87355,244890,11706,5,4,4,2,1,3,0,0,4,5,4,781525,3,3,2,0,540192
62.52,310887,849,875,13821,222702,270927,211702,300605,121084,470993,29432,12,12,7,5,2,4,0,0,8,12,9,1768061,7,4,4,0,1141035
41.61,287638,843,865,9826,152458,199177,157781,310647,238014,456216,19094,3,3,3,0,0,0,0,0,2,3,3,1463583,1,0,0,0,1068139
2.47,39633,792,897,1665,17489,24105,21377,36440,30013,64425,3169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179112,NA,NA,NA,NA,131196
1.91,120616,842,902,9341,65525,101683,75263,119540,79593,213324,10527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,646385,NA,NA,NA,NA,450989
47.81,432782,830,859,13948,220759,289230,222665,463594,323357,686517,34398,9,9,9,1,1,5,0,0,9,9,9,2128908,9,7,11,0,1533738
61.29,364511,784,845,10007,184787,237497,201038,396897,227609,569836,32710,51,47,51,11,11,26,2,2,49,51,51,1755041,49,30,50,1,1258033
50.27,466444,799,887,15744,250170,313497,242046,436353,325459,739173,39385,16,16,16,1,1,7,2,0,15,16,16,2267023,12,10,14,1,1583540
59.2,45586,812,979,1228,26108,25077,15408,28169,7896,96184,17938,69,69,69,0,0,67,9,37,44,60,69,220490,69,36,16,1,103904
13.93,164129,953,937,9387,113407,110017,93191,183788,56876,242190,65438,209,206,206,0,0,111,6,80,114,195,200,758573,188,110,104,4,566668
16.16,130683,972,937,8623,75499,83652,66067,143627,41421,183115,32112,138,137,137,13,9,74,5,51,69,128,131,589095,120,61,68,2,418894
20.9,320588,942,921,12438,253685,250155,104847,140506,32699,498186,107413,886,882,863,61,21,672,45,170,616,841,688,1583225,835,0,105,0,794483
26.31,426781,930,906,13753,424367,308578,112479,153151,24897,830579,261622,1242,1233,1225,328,197,523,61,252,954,1114,1066,2504244,1217,0,198,4,1037619
